question,answer,hint
The ____ is a lie,Cake,Portal
Settlers of ____,Catan,Board Game
____ & Dragons,Dungeons,Game
Kara '____' Thrace,Starbuck,Battlestar Galactica
Live ____ Role Playing,Action,Activity
Live long and ____,Prosper,Star Trek
221B ____ Street,Baker,Sherlock Holmes
Time And Relative\n____ In Space,Dimension,Doctor Who
All your ____ are\nbelong to us,Base,Zero Wing
Prancing ____,Pony,Lord of the Rings
____ Kedavra,Avada,Harry Potter
''Hello ____'',World,Programming
____ Pennyworth,Alfred,Batman
Seismic ____,Toss,Pokémon
Dr. ____'s\nSing-Along Blog,Horrible,Neil Patrick Harris
World of ____,Warcraft,MMORPG
Fullmetal ____,Alchemist,Anime
____ the Enchanter,Tim,Monty Python
Captain Mal ____,Reynolds,Firefly
Magic: The ____,Gathering,Card Game
